monotonic_ns,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes
94722344402231,0.0,241139712,240386048
94722444619439,0.0,241139712,240386048
94722544836537,9.978289237330795,241139712,240386048
94722645065913,0.0,241139712,240386048
94722745285882,0.0,241139712,240386048
94722845566499,0.0,241139712,240386048
94722945780338,0.0,241139712,240386048
94723045976547,0.0,241139712,240386048
94723146179127,0.0,241139712,240386048
94723246396595,0.0,241139712,240386048
94723346610990,0.0,241139712,240386048
94723446811717,0.0,241139712,240386048
94723547025872,0.0,241139712,240386048
94723647233378,9.979211207005088,241139712,240386048
94723747495126,0.0,241139712,240386048
94723847665983,0.0,241139712,240386048
94723947861434,0.0,241139712,240386048
94724048091459,0.0,241139712,240386048
94724148288410,0.0,241139712,240386048
94724248534620,0.0,241139712,240386048
94724348772386,0.0,241139712,240386048
94724448977911,0.0,241139712,240386048
94724549177714,0.0,241139712,240386048
94724649382980,0.0,241139712,240386048
94724749598691,0.0,241139712,240386048
94724849799068,0.0,241139712,240386048
94724950025668,0.0,241139712,240386048
94725050252138,0.0,241139712,240386048
94725150498646,0.0,241139712,240386048
94725250684412,9.981415403630507,241139712,240386048
94725350928660,0.0,241139712,240386048
94725451155167,0.0,241139712,240386048
94725551355916,0.0,241139712,240386048
94725651546831,0.0,241139712,240386048
94725751769302,0.0,241139712,240386048
94725852034847,0.0,241139712,240386048
94725952227873,0.0,241139712,240386048
94726052445807,0.0,241139712,240386048
94726152675371,0.0,241139712,240386048
94726252891878,0.0,241139712,240386048
94726353107868,9.97846238725767,241139712,240386048
94726453320635,0.0,241139712,240386048
94726553547477,0.0,241139712,240386048
94726653731819,0.0,241139712,240386048
94726753960494,0.0,241139712,240386048
94726854187559,0.0,241139712,240386048
94726954360011,0.0,241139712,240386048
94727054539686,0.0,241139712,240386048
94727154765491,0.0,241139712,240386048
94727254937999,0.0,241139712,240386048
94727355118415,0.0,241139712,240386048
