window_index,window_complete_monotonic_ns,decision_monotonic_ns,draw_completed_monotonic_ns,decision_to_gui_draw_ms,window_to_gui_draw_ms,gui_messages_dropped
674,15634972740286,15634994630831,15635231224718,236.593887,258.484432,0
675,15635589970003,15635605780101,15635765726496,159.946395,175.756493,0
676,15636208699980,15636232793082,15636395609570,162.816488,186.90959,0
677,15636827429383,15636847825558,15637020155864,172.330306,192.726481,0
678,15637444978212,15637460859218,15637610334294,149.475076,165.356082,0
679,15638062961708,15638078684770,15638197149093,118.464323,134.187385,0
680,15638679090426,15638703238232,15638917936888,214.698656,238.846462,0
681,15639297554923,15639313343558,15639471281378,157.93782,173.726455,0
682,15639917848624,15639934934445,15640055143769,120.209324,137.295145,0
683,15640533967639,15640549850460,15640682248603,132.398143,148.280964,0
684,15641150706524,15641168381086,15641309679326,141.29824,158.972802,0
685,15641769552281,15641785426046,15641914285374,128.859328,144.733093,0
686,15642387988019,15642404446600,15642560495067,156.048467,172.507048,0
687,15643004643424,15643020129134,15643293318295,273.189161,288.674871,0
688,15643622665829,15643639248132,15643807968808,168.720676,185.302979,0
689,15644240460457,15644256333130,15644426371733,170.038603,185.911276,0
690,15644858120011,15644874593036,15645038300488,163.707452,180.180477,0
691,15645476716343,15645492137052,15645622629084,130.492032,145.912741,0
692,15646094106712,15646109755532,15646279317580,169.562048,185.210868,0
693,15646712150099,15646734717812,15646903304581,168.586769,191.154482,0
694,15647329573784,15647346400457,15647506526556,160.126099,176.952772,0
695,15647947833450,15647965210845,15648109480364,144.269519,161.646914,0
696,15648565588912,15648581007344,15648722673251,141.665907,157.084339,0
697,15649183627708,15649200105214,15649365980335,165.875121,182.352627,0
698,15649802115208,15649818571529,15649989171707,170.600178,187.056499,0
699,15650419433782,15650437058085,15650583337717,146.279632,163.903935,0
700,15651037248616,15651053197918,15651210580702,157.382784,173.332086,0
701,15651655903802,15651672933605,15651798347617,125.414012,142.443815,0
702,15652273873654,15652297750867,15652494581259,196.830392,220.707605,0
703,15652892210359,15652910148329,15653033043211,122.894882,140.832852,0
704,15653509691119,15653526059144,15653682895410,156.836266,173.204291,0
705,15654128031769,15654144219646,15654261869192,117.649546,133.837423,0
706,15654746094845,15654761738721,15654907928668,146.189947,161.833823,0
707,15655363274883,15655378731278,15655504960013,126.228735,141.68513,0
