iteration,source_window,processing_latency_ms
990,54,0.056871
991,55,0.05713
992,56,0.057204
993,57,0.061
994,58,0.057537
995,59,0.057463
996,60,0.057
997,61,0.056852
998,62,0.057056
999,63,0.056908
