monotonic_ns,queue_pending_windows,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes,elapsed_s,trial,mode,method,repeat
100301792235926,0,9.980152669262651,77234176,77398016,25.625392276,sensor_live_rms_01,sensor_live,rms,1
100301892414609,0,9.982137763343118,77234176,77398016,25.725570959,sensor_live_rms_01,sensor_live,rms,1
100301992595421,0,0.0,77234176,77398016,25.825751771,sensor_live_rms_01,sensor_live,rms,1
100302092807178,0,0.0,77234176,77398016,25.925963528,sensor_live_rms_01,sensor_live,rms,1
100302192982212,0,9.982604613343428,77234176,77398016,26.026138562,sensor_live_rms_01,sensor_live,rms,1
100302293149673,0,9.983163794275784,77234176,77398016,26.126306023,sensor_live_rms_01,sensor_live,rms,1
100302393339059,0,0.0,77234176,77398016,26.226495409,sensor_live_rms_01,sensor_live,rms,1
100302493519779,0,0.0,77234176,77398016,26.326676129,sensor_live_rms_01,sensor_live,rms,1
100302593691333,0,9.982929389940926,77234176,77398016,26.426847683,sensor_live_rms_01,sensor_live,rms,1
100302693856441,0,0.0,77234176,77398016,26.527012791,sensor_live_rms_01,sensor_live,rms,1
100302794052902,0,0.0,77234176,77398016,26.627209252,sensor_live_rms_01,sensor_live,rms,1
100302894230844,0,9.982132183755585,77234176,77398016,26.727387194,sensor_live_rms_01,sensor_live,rms,1
100302994452379,0,9.977930513404779,77234176,77398016,26.827608729,sensor_live_rms_01,sensor_live,rms,1
100303094663062,0,0.0,77234176,77398016,26.927819412,sensor_live_rms_01,sensor_live,rms,1
100303194882837,0,0.0,77234176,77398016,27.028039187,sensor_live_rms_01,sensor_live,rms,1
100303295064817,0,0.0,77234176,77398016,27.128221167,sensor_live_rms_01,sensor_live,rms,1
100303395268759,0,0.0,77234176,77398016,27.228425109,sensor_live_rms_01,sensor_live,rms,1
100303495457905,0,9.981121108300831,77234176,77398016,27.328614255,sensor_live_rms_01,sensor_live,rms,1
