recording_id,phase,block_index,start_since_command_s,end_since_command_s_exclusive,midpoint_since_command_s,xyz_points,first_since_command_s,last_since_command_s,quality_valid,quality_reasons,axis_mean_g,axis_std_population_g,vector_ac_rms_g,vector_ac_rms_mg
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,56,280,285,282.5,1036,280.001860635,284.997558669,True,[],"[-0.6281710424710425, -0.712024806949807, 0.08951554054054055]","[0.01201388559858143, 0.00876420702457909, 0.01148896901687659]",0.018792051006109842,18.792051006109844
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,57,285,290,287.5,1036,285.003160795,289.998499231,True,[],"[-0.6286340733590734, -0.7119382239382239, 0.08917673745173746]","[0.011230233910209352, 0.0084091950920745, 0.010539692826501837]",0.017547587886988916,17.547587886988918
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,58,290,295,292.5,1036,290.004098062,294.999677954,True,[],"[-0.6281861003861003, -0.7121791505791507, 0.08925955598455598]","[0.009974359979155729, 0.0073167833231142735, 0.010826527703721656]",0.01643888309194512,16.43888309194512
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,59,295,300,297.5,1035,295.005275988,299.995929209,True,[],"[-0.6281298550724637, -0.712151304347826, 0.08980550724637681]","[0.009889667055657105, 0.007369671873025832, 0.01073462493843115]",0.01635083332911829,16.35083332911829
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,0,0,5,2.5,1016,0.097072305,4.998122854,True,[],"[-0.6282377952755906, -0.7120647637795274, 0.08937372047244094]","[0.008880884356313493, 0.007346718329961376, 0.010830833625544548]",0.015816173184251325,15.816173184251326
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,1,5,10,7.5,1036,5.003717408,9.999625781,True,[],"[-0.6282275096525096, -0.7118855212355213, 0.08921814671814671]","[0.014157220689781353, 0.009897023011828019, 0.014748672436876763]",0.022713460784436063,22.713460784436062
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,2,10,15,12.5,1035,10.005226631,14.99613306,True,[],"[-0.6282579710144929, -0.712268115942029, 0.0886863768115942]","[0.009731541513606348, 0.007644410532693449, 0.011157425027725586]",0.016662174104021227,16.66217410402123
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,3,15,20,17.5,1036,15.001729466,19.997642152,True,[],"[-0.6282388030888031, -0.7122582046332047, 0.0898242277992278]","[0.009836337373755425, 0.007399539551873946, 0.010683303552263518]",0.01629845677663658,16.29845677663658
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,4,20,25,22.5,1036,20.003296225,24.999066649,True,[],"[-0.6285663127413128, -0.7118102316602315, 0.08965106177606177]","[0.010024525634829362, 0.007270786440789544, 0.010972707842891383]",0.016545566387294517,16.545566387294517
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,5,25,30,27.5,1035,25.00464987,29.997118218,True,[],"[-0.6279828985507246, -0.7119402898550724, 0.08917246376811594]","[0.009662779193551463, 0.007316130673513569, 0.010473966125284858]",0.016018708942011274,16.018708942011273
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,6,30,35,32.5,1036,30.000812273,34.99887458,True,[],"[-0.6282990347490347, -0.7123297297297296, 0.08913156370656372]","[0.00997342506677114, 0.006985898946938623, 0.010495471438713216]",0.016075662113274897,16.0756621132749
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,7,35,40,37.5,1036,35.002554987,39.999450456,True,[],"[-0.6285098455598456, -0.7122506756756756, 0.08927084942084942]","[0.009631579112085634, 0.00693084911303314, 0.010534889618713817]",0.015867825462188595,15.867825462188595
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,8,40,45,42.5,1035,40.005058011,44.996150625,True,[],"[-0.6284953623188406, -0.7117217391304348, 0.0895568115942029]","[0.010079879884795915, 0.007402405984997696, 0.010546354063702154]",0.01635925355557551,16.35925355557551
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,9,45,50,47.5,1036,45.001752272,49.999659138,True,[],"[-0.6284232625482625, -0.7119683397683397, 0.08998233590733591]","[0.009969888514951727, 0.007112573940173957, 0.010438368799395118]",0.016091827995824263,16.091827995824264
normal_pwm50_02_50pwm_300s_20260912_101021_347673,normal_pwm50_02,10,50,55,52.5,1035,50.003348842,54.995292258,True,[],"[-0.6281373913043479, -0.7119892753623187, 0.08973391304347825]","[0.009651847859749462, 0.006975325106721942, 0.010717964496533854]",0.016021488395313838,16.02148839531384
